Method,Metric,Train,Test,Threshold,Rep,n,Dataset
is1,dss,98.42,654.34,0.8,1,200,easy
is1,is1,752.71,3942.66,0.8,1,200,easy
sse,sse,201.59,1161.55,0.8,1,200,easy
sse,crps,100.94,552.97,0.8,1,200,easy
sse,dss,98.42,654.34,0.8,1,200,easy
sse,is1,752.71,3942.66,0.8,1,200,easy
crps,sse,70.12,465.53,0,2,200,easy
crps,crps,50.96,313.19,0,2,200,easy
crps,dss,-124.83,51.18,0,2,200,easy
crps,is1,600.78,3341.67,0,2,200,easy
dss,sse,75.22,448.7,0,2,200,easy
dss,crps,51.02,299.63,0,2,200,easy
dss,dss,-134.36,30.86,0,2,200,easy
dss,is1,601.28,3289.99,0,2,200,easy
is1,sse,78.68,529.45,0,2,200,easy
is1,crps,54.42,336.74,0,2,200,easy
is1,dss,-80.97,347.65,0,2,200,easy
is1,is1,593.66,3361.27,0,2,200,easy
sse,sse,73.88,497.94,0,2,200,easy
sse,crps,52.95,323.02,0,2,200,easy
sse,dss,-102.12,269.09,0,2,200,easy
sse,is1,596.95,3329.77,0,2,200,easy
crps,sse,82.02,462.15,0.1,2,200,easy
crps,crps,56.39,302.78,0.1,2,200,easy
crps,dss,13.23,411.95,0.1,2,200,easy
crps,is1,610.78,3300.29,0.1,2,200,easy
dss,sse,76.04,450.02,0.1,2,200,easy
dss,crps,51.95,297.05,0.1,2,200,easy
dss,dss,-124.37,-113.39,0.1,2,200,easy
dss,is1,605.33,3287.88,0.1,2,200,easy
is1,sse,82.76,530.7,0.1,2,200,easy
is1,crps,57,329.16,0.1,2,200,easy
is1,dss,8.07,527.03,0.1,2,200,easy
is1,is1,602.89,3322.15,0.1,2,200,easy
sse,sse,81.92,513.9,0.1,2,200,easy
sse,crps,56.55,322.75,0.1,2,200,easy
sse,dss,6.52,494.35,0.1,2,200,easy
sse,is1,602.07,3318.56,0.1,2,200,easy
crps,sse,199.54,1078.62,0.3,2,200,easy
crps,crps,101.17,532.6,0.3,2,200,easy
crps,dss,192.27,1022.56,0.3,2,200,easy
crps,is1,727.68,3814.6,0.3,2,200,easy
dss,sse,76.17,451.72,0.3,2,200,easy
dss,crps,52.15,296.72,0.3,2,200,easy
dss,dss,-115.22,-62.1,0.3,2,200,easy
dss,is1,605.45,3283.4,0.3,2,200,easy
is1,sse,199.54,1078.62,0.3,2,200,easy
is1,crps,101.17,532.6,0.3,2,200,easy
is1,dss,192.27,1022.56,0.3,2,200,easy
is1,is1,727.68,3814.6,0.3,2,200,easy
sse,sse,199.54,1078.62,0.3,2,200,easy
sse,crps,101.17,532.6,0.3,2,200,easy
sse,dss,192.27,1022.56,0.3,2,200,easy
sse,is1,727.68,3814.6,0.3,2,200,easy
crps,sse,199.54,1078.62,0.5,2,200,easy
crps,crps,101.17,532.6,0.5,2,200,easy
crps,dss,192.27,1022.56,0.5,2,200,easy
crps,is1,727.68,3814.6,0.5,2,200,easy
dss,sse,255.83,1552.03,0.5,2,200,easy
dss,crps,113.95,643.02,0.5,2,200,easy
dss,dss,153.41,978.95,0.5,2,200,easy
dss,is1,782.64,4244.02,0.5,2,200,easy
is1,sse,199.54,1078.62,0.5,2,200,easy
is1,crps,101.17,532.6,0.5,2,200,easy
is1,dss,192.27,1022.56,0.5,2,200,easy
is1,is1,727.68,3814.6,0.5,2,200,easy
sse,sse,199.54,1078.62,0.5,2,200,easy
sse,crps,101.17,532.6,0.5,2,200,easy
sse,dss,192.27,1022.56,0.5,2,200,easy
sse,is1,727.68,3814.6,0.5,2,200,easy
crps,sse,199.54,1078.62,0.8,2,200,easy
crps,crps,101.17,532.6,0.8,2,200,easy
crps,dss,192.27,1022.56,0.8,2,200,easy
crps,is1,727.68,3814.6,0.8,2,200,easy
dss,sse,255.83,1552.03,0.8,2,200,easy
dss,crps,113.95,643.02,0.8,2,200,easy
dss,dss,153.41,978.95,0.8,2,200,easy
dss,is1,782.64,4244.02,0.8,2,200,easy
is1,sse,199.54,1078.62,0.8,2,200,easy
is1,crps,101.17,532.6,0.8,2,200,easy
is1,dss,192.27,1022.56,0.8,2,200,easy
is1,is1,727.68,3814.6,0.8,2,200,easy
sse,sse,199.54,1078.62,0.8,2,200,easy
sse,crps,101.17,532.6,0.8,2,200,easy
sse,dss,192.27,1022.56,0.8,2,200,easy
sse,is1,727.68,3814.6,0.8,2,200,easy
crps,sse,65.57,473.41,0,3,200,easy
crps,crps,48.73,326.08,0,3,200,easy
crps,dss,-154.51,-106.38,0,3,200,easy
crps,is1,647.95,3375.98,0,3,200,easy
dss,sse,69.74,439.09,0,3,200,easy
dss,crps,51.7,308.05,0,3,200,easy
dss,dss,-138.26,-299.67,0,3,200,easy
dss,is1,660.16,3298.01,0,3,200,easy
is1,sse,66.72,468.42,0,3,200,easy
is1,crps,49.25,323.28,0,3,200,easy
is1,dss,-146.13,-170.67,0,3,200,easy
is1,is1,645.88,3388.47,0,3,200,easy
sse,sse,65.57,473.41,0,3,200,easy
sse,crps,48.73,326.08,0,3,200,easy
sse,dss,-154.51,-106.38,0,3,200,easy
sse,is1,647.95,3375.98,0,3,200,easy
crps,sse,76.3,497.35,0.1,3,200,easy
crps,crps,53.53,321.39,0.1,3,200,easy
crps,dss,-6.74,213.34,0.1,3,200,easy
crps,is1,663.92,3368.18,0.1,3,200,easy
dss,sse,70.92,435.35,0.1,3,200,easy
dss,crps,52.66,303.55,0.1,3,200,easy
dss,dss,-131.73,-351.95,0.1,3,200,easy
dss,is1,665.13,3282.46,0.1,3,200,easy
is1,sse,75.11,505.33,0.1,3,200,easy
is1,crps,52.57,328.19,0.1,3,200,easy
is1,dss,-18.64,295.47,0.1,3,200,easy
is1,is1,657.05,3384.13,0.1,3,200,easy
sse,sse,76.3,497.35,0.1,3,200,easy
sse,crps,53.53,321.39,0.1,3,200,easy
sse,dss,-6.74,213.34,0.1,3,200,easy
sse,is1,663.92,3368.18,0.1,3,200,easy
crps,sse,180.81,1068.74,0.3,3,200,easy
crps,crps,95.53,532.68,0.3,3,200,easy
crps,dss,171.38,1020.82,0.3,3,200,easy
crps,is1,758.66,3811.47,0.3,3,200,easy
dss,sse,234.99,1234.78,0.3,3,200,easy
dss,crps,108.88,571.17,0.3,3,200,easy
dss,dss,119.91,709.95,0.3,3,200,easy
dss,is1,820.86,3999.4,0.3,3,200,easy
is1,sse,180.81,1068.74,0.3,3,200,easy
is1,crps,95.53,532.68,0.3,3,200,easy
is1,dss,171.38,1020.82,0.3,3,200,easy
is1,is1,758.66,3811.47,0.3,3,200,easy
sse,sse,180.81,1068.74,0.3,3,200,easy
sse,crps,95.53,532.68,0.3,3,200,easy
sse,dss,171.38,1020.82,0.3,3,200,easy
sse,is1,758.66,3811.47,0.3,3,200,easy
crps,sse,180.81,1068.74,0.5,3,200,easy
crps,crps,95.53,532.68,0.5,3,200,easy
crps,dss,171.38,1020.82,0.5,3,200,easy
crps,is1,758.66,3811.47,0.5,3,200,easy
dss,sse,234.99,1234.78,0.5,3,200,easy
dss,crps,108.88,571.17,0.5,3,200,easy
dss,dss,119.91,709.95,0.5,3,200,easy
dss,is1,820.86,3999.4,0.5,3,200,easy
is1,sse,180.81,1068.74,0.5,3,200,easy
is1,crps,95.53,532.68,0.5,3,200,easy
is1,dss,171.38,1020.82,0.5,3,200,easy
is1,is1,758.66,3811.47,0.5,3,200,easy
sse,sse,180.81,1068.74,0.5,3,200,easy
sse,crps,95.53,532.68,0.5,3,200,easy
sse,dss,171.38,1020.82,0.5,3,200,easy
sse,is1,758.66,3811.47,0.5,3,200,easy
crps,sse,180.81,1068.74,0.8,3,200,easy
crps,crps,95.53,532.68,0.8,3,200,easy
crps,dss,171.38,1020.82,0.8,3,200,easy
crps,is1,758.66,3811.47,0.8,3,200,easy
dss,sse,234.99,1234.78,0.8,3,200,easy
dss,crps,108.88,571.17,0.8,3,200,easy
dss,dss,119.91,709.95,0.8,3,200,easy
dss,is1,820.86,3999.4,0.8,3,200,easy
is1,sse,180.81,1068.74,0.8,3,200,easy
is1,crps,95.53,532.68,0.8,3,200,easy
is1,dss,171.38,1020.82,0.8,3,200,easy
is1,is1,758.66,3811.47,0.8,3,200,easy
sse,sse,180.81,1068.74,0.8,3,200,easy
sse,crps,95.53,532.68,0.8,3,200,easy
sse,dss,171.38,1020.82,0.8,3,200,easy
sse,is1,758.66,3811.47,0.8,3,200,easy
crps,sse,71.18,550,0,4,200,easy
crps,crps,53.38,325.11,0,4,200,easy
crps,dss,-130.54,-171.23,0,4,200,easy
crps,is1,661.09,3469.04,0,4,200,easy
dss,sse,71.16,549.93,0,4,200,easy
dss,crps,53.39,324.87,0,4,200,easy
dss,dss,-130.72,-171.95,0,4,200,easy
dss,is1,661.34,3469.04,0,4,200,easy
is1,sse,73.74,559.46,0,4,200,easy
is1,crps,54.3,328.47,0,4,200,easy
is1,dss,-117.07,-135.9,0,4,200,easy
is1,is1,659.71,3477.51,0,4,200,easy
sse,sse,71.1,548.06,0,4,200,easy
sse,crps,53.52,322.72,0,4,200,easy
sse,dss,-130.29,-207.79,0,4,200,easy
sse,is1,661.24,3459.64,0,4,200,easy
crps,sse,81.3,612.29,0.1,4,200,easy
crps,crps,57.4,335.37,0.1,4,200,easy
crps,dss,-49.97,155.13,0.1,4,200,easy
crps,is1,667.96,3511.66,0.1,4,200,easy
dss,sse,72.03,542.56,0.1,4,200,easy
dss,crps,54.28,319.24,0.1,4,200,easy
dss,dss,-126.9,-258.74,0.1,4,200,easy
dss,is1,662.81,3460.76,0.1,4,200,easy
is1,sse,81.3,612.29,0.1,4,200,easy
is1,crps,57.4,335.37,0.1,4,200,easy
is1,dss,-49.97,155.13,0.1,4,200,easy
is1,is1,667.96,3511.66,0.1,4,200,easy
sse,sse,81.3,612.29,0.1,4,200,easy
sse,crps,57.4,335.37,0.1,4,200,easy
sse,dss,-49.97,155.13,0.1,4,200,easy
sse,is1,667.96,3511.66,0.1,4,200,easy
crps,sse,206.6,1143.61,0.3,4,200,easy
crps,crps,105.31,549.56,0.3,4,200,easy
crps,dss,106.95,637.88,0.3,4,200,easy
crps,is1,772.22,3938.82,0.3,4,200,easy
dss,sse,206.6,1143.61,0.3,4,200,easy
dss,crps,105.31,549.56,0.3,4,200,easy
dss,dss,106.95,637.88,0.3,4,200,easy
dss,is1,772.22,3938.82,0.3,4,200,easy
is1,sse,206.6,1143.61,0.3,4,200,easy
is1,crps,105.31,549.56,0.3,4,200,easy
is1,dss,106.95,637.88,0.3,4,200,easy
is1,is1,772.22,3938.82,0.3,4,200,easy
sse,sse,206.6,1143.61,0.3,4,200,easy
sse,crps,105.31,549.56,0.3,4,200,easy
sse,dss,106.95,637.88,0.3,4,200,easy
sse,is1,772.22,3938.82,0.3,4,200,easy
crps,sse,206.6,1143.61,0.5,4,200,easy
crps,crps,105.31,549.56,0.5,4,200,easy
crps,dss,106.95,637.88,0.5,4,200,easy
crps,is1,772.22,3938.82,0.5,4,200,easy
dss,sse,206.6,1143.61,0.5,4,200,easy
dss,crps,105.31,549.56,0.5,4,200,easy
dss,dss,106.95,637.88,0.5,4,200,easy
dss,is1,772.22,3938.82,0.5,4,200,easy
is1,sse,206.6,1143.61,0.5,4,200,easy
is1,crps,105.31,549.56,0.5,4,200,easy
is1,dss,106.95,637.88,0.5,4,200,easy
is1,is1,772.22,3938.82,0.5,4,200,easy
sse,sse,206.6,1143.61,0.5,4,200,easy
sse,crps,105.31,549.56,0.5,4,200,easy
sse,dss,106.95,637.88,0.5,4,200,easy
sse,is1,772.22,3938.82,0.5,4,200,easy
crps,sse,206.6,1143.61,0.8,4,200,easy
crps,crps,105.31,549.56,0.8,4,200,easy
crps,dss,106.95,637.88,0.8,4,200,easy
crps,is1,772.22,3938.82,0.8,4,200,easy
dss,sse,206.6,1143.61,0.8,4,200,easy
dss,crps,105.31,549.56,0.8,4,200,easy
dss,dss,106.95,637.88,0.8,4,200,easy
dss,is1,772.22,3938.82,0.8,4,200,easy
is1,sse,206.6,1143.61,0.8,4,200,easy
is1,crps,105.31,549.56,0.8,4,200,easy
is1,dss,106.95,637.88,0.8,4,200,easy
is1,is1,772.22,3938.82,0.8,4,200,easy
sse,sse,206.6,1143.61,0.8,4,200,easy
sse,crps,105.31,549.56,0.8,4,200,easy
sse,dss,106.95,637.88,0.8,4,200,easy
sse,is1,772.22,3938.82,0.8,4,200,easy
crps,sse,86.26,517.31,0,5,200,easy
crps,crps,56.66,324.7,0,5,200,easy
crps,dss,-122.69,-90.64,0,5,200,easy
crps,is1,660.81,3321.56,0,5,200,easy
dss,sse,101.76,560,0,5,200,easy
dss,crps,60.95,331.56,0,5,200,easy
dss,dss,-103.59,-7.39,0,5,200,easy
dss,is1,683.46,3361.13,0,5,200,easy
is1,sse,122.99,530.15,0,5,200,easy
is1,crps,67.36,326.56,0,5,200,easy
is1,dss,-12.28,-114.39,0,5,200,easy
is1,is1,674.06,3312.89,0,5,200,easy
sse,sse,86.04,517.42,0,5,200,easy
sse,crps,56.89,323.36,0,5,200,easy
sse,dss,-116.66,-213.52,0,5,200,easy
sse,is1,663.08,3315.4,0,5,200,easy
crps,sse,87.75,515.27,0.1,5,200,easy
crps,crps,58.39,319.12,0.1,5,200,easy
crps,dss,-92.82,-317.7,0.1,5,200,easy
crps,is1,667.85,3299.21,0.1,5,200,easy
dss,sse,102.04,559.07,0.1,5,200,easy
dss,crps,61.5,329.61,0.1,5,200,easy
dss,dss,-100.82,-16.71,0.1,5,200,easy
dss,is1,684.25,3362.11,0.1,5,200,easy
is1,sse,136.52,539.75,0.1,5,200,easy
is1,crps,70.89,325.1,0.1,5,200,easy
is1,dss,91.93,264.17,0.1,5,200,easy
is1,is1,677.58,3302.32,0.1,5,200,easy
sse,sse,94.78,485.73,0.1,5,200,easy
sse,crps,61.02,307.13,0.1,5,200,easy
sse,dss,-81.63,-356.03,0.1,5,200,easy
sse,is1,676.94,3282.07,0.1,5,200,easy
crps,sse,220.82,1296.95,0.3,5,200,easy
crps,crps,108.27,586.06,0.3,5,200,easy
crps,dss,118.44,773.38,0.3,5,200,easy
crps,is1,785.63,4050.47,0.3,5,200,easy
dss,sse,220.82,1296.95,0.3,5,200,easy
dss,crps,108.27,586.06,0.3,5,200,easy
dss,dss,118.44,773.38,0.3,5,200,easy
dss,is1,785.63,4050.47,0.3,5,200,easy
is1,sse,244.09,1140.03,0.3,5,200,easy
is1,crps,113.35,547.78,0.3,5,200,easy
is1,dss,239.81,1136.16,0.3,5,200,easy
is1,is1,767.19,3820.39,0.3,5,200,easy
sse,sse,220.82,1296.95,0.3,5,200,easy
sse,crps,108.27,586.06,0.3,5,200,easy
sse,dss,118.44,773.38,0.3,5,200,easy
sse,is1,785.63,4050.47,0.3,5,200,easy
crps,sse,220.82,1296.95,0.5,5,200,easy
crps,crps,108.27,586.06,0.5,5,200,easy
crps,dss,118.44,773.38,0.5,5,200,easy
crps,is1,785.63,4050.47,0.5,5,200,easy
dss,sse,220.82,1296.95,0.5,5,200,easy
dss,crps,108.27,586.06,0.5,5,200,easy
dss,dss,118.44,773.38,0.5,5,200,easy
dss,is1,785.63,4050.47,0.5,5,200,easy
is1,sse,244.09,1140.03,0.5,5,200,easy
is1,crps,113.35,547.78,0.5,5,200,easy
is1,dss,239.81,1136.16,0.5,5,200,easy
is1,is1,767.19,3820.39,0.5,5,200,easy
sse,sse,220.82,1296.95,0.5,5,200,easy
sse,crps,108.27,586.06,0.5,5,200,easy
sse,dss,118.44,773.38,0.5,5,200,easy
sse,is1,785.63,4050.47,0.5,5,200,easy
crps,sse,220.82,1296.95,0.8,5,200,easy
crps,crps,108.27,586.06,0.8,5,200,easy
crps,dss,118.44,773.38,0.8,5,200,easy
crps,is1,785.63,4050.47,0.8,5,200,easy
dss,sse,220.82,1296.95,0.8,5,200,easy
dss,crps,108.27,586.06,0.8,5,200,easy
dss,dss,118.44,773.38,0.8,5,200,easy
dss,is1,785.63,4050.47,0.8,5,200,easy
is1,sse,244.09,1140.03,0.8,5,200,easy
is1,crps,113.35,547.78,0.8,5,200,easy
is1,dss,239.81,1136.16,0.8,5,200,easy
is1,is1,767.19,3820.39,0.8,5,200,easy
sse,sse,220.82,1296.95,0.8,5,200,easy
sse,crps,108.27,586.06,0.8,5,200,easy
sse,dss,118.44,773.38,0.8,5,200,easy
sse,is1,785.63,4050.47,0.8,5,200,easy
crps,sse,77.24,433.38,0,6,200,easy
crps,crps,54.67,311.82,0,6,200,easy
crps,dss,-99.4,-99.75,0,6,200,easy
crps,is1,642.61,3281.71,0,6,200,easy
dss,sse,90.32,552.26,0,6,200,easy
dss,crps,58.21,343.06,0,6,200,easy
dss,dss,-111.98,-53.32,0,6,200,easy
dss,is1,657.51,3439.16,0,6,200,easy
is1,sse,78.78,431.4,0,6,200,easy
is1,crps,55.54,310.02,0,6,200,easy
is1,dss,-93.68,-98.1,0,6,200,easy
is1,is1,640.73,3291.45,0,6,200,easy
sse,sse,66.07,393.44,0,6,200,easy
sse,crps,50.03,299.53,0,6,200,easy
sse,dss,-144.56,-251.39,0,6,200,easy
sse,is1,637.4,3302.09,0,6,200,easy
crps,sse,89.7,414.2,0.1,6,200,easy
crps,crps,59.61,296.26,0.1,6,200,easy
crps,dss,23.45,122.22,0.1,6,200,easy
crps,is1,650.68,3257.39,0.1,6,200,easy
dss,sse,90.44,551.2,0.1,6,200,easy
dss,crps,58.57,340.26,0.1,6,200,easy
dss,dss,-110.84,-63.92,0.1,6,200,easy
dss,is1,657.99,3436.34,0.1,6,200,easy
is1,sse,87.56,423.89,0.1,6,200,easy
is1,crps,58.54,302.3,0.1,6,200,easy
is1,dss,14.84,204.78,0.1,6,200,easy
is1,is1,644.19,3273.26,0.1,6,200,easy
sse,sse,197.36,1010.37,0.1,6,200,easy
sse,crps,100.35,517.1,0.1,6,200,easy
sse,dss,189.94,921.26,0.1,6,200,easy
sse,is1,767.2,3800.19,0.1,6,200,easy
crps,sse,197.36,1010.37,0.3,6,200,easy
crps,crps,100.35,517.1,0.3,6,200,easy
crps,dss,189.94,921.26,0.3,6,200,easy
crps,is1,767.2,3800.19,0.3,6,200,easy
dss,sse,239.45,1265.41,0.3,6,200,easy
dss,crps,110.01,577.21,0.3,6,200,easy
dss,dss,125.86,740,0.3,6,200,easy
dss,is1,815.11,4026.86,0.3,6,200,easy
is1,sse,89.7,414.2,0.3,6,200,easy
is1,crps,59.61,296.26,0.3,6,200,easy
is1,dss,23.45,122.22,0.3,6,200,easy
is1,is1,650.68,3257.39,0.3,6,200,easy
sse,sse,197.36,1010.37,0.3,6,200,easy
sse,crps,100.35,517.1,0.3,6,200,easy
sse,dss,189.94,921.26,0.3,6,200,easy
sse,is1,767.2,3800.19,0.3,6,200,easy
crps,sse,197.36,1010.37,0.5,6,200,easy
crps,crps,100.35,517.1,0.5,6,200,easy
crps,dss,189.94,921.26,0.5,6,200,easy
crps,is1,767.2,3800.19,0.5,6,200,easy
dss,sse,239.45,1265.41,0.5,6,200,easy
dss,crps,110.01,577.21,0.5,6,200,easy
dss,dss,125.86,740,0.5,6,200,easy
dss,is1,815.11,4026.86,0.5,6,200,easy
is1,sse,197.36,1010.37,0.5,6,200,easy
is1,crps,100.35,517.1,0.5,6,200,easy
is1,dss,189.94,921.26,0.5,6,200,easy
is1,is1,767.2,3800.19,0.5,6,200,easy
sse,sse,197.36,1010.37,0.5,6,200,easy
sse,crps,100.35,517.1,0.5,6,200,easy
sse,dss,189.94,921.26,0.5,6,200,easy
sse,is1,767.2,3800.19,0.5,6,200,easy
crps,sse,197.36,1010.37,0.8,6,200,easy
crps,crps,100.35,517.1,0.8,6,200,easy
crps,dss,189.94,921.26,0.8,6,200,easy
crps,is1,767.2,3800.19,0.8,6,200,easy
dss,sse,239.45,1265.41,0.8,6,200,easy
dss,crps,110.01,577.21,0.8,6,200,easy
dss,dss,125.86,740,0.8,6,200,easy
dss,is1,815.11,4026.86,0.8,6,200,easy
is1,sse,197.36,1010.37,0.8,6,200,easy
is1,crps,100.35,517.1,0.8,6,200,easy
